main_sound,level,hanja,meaning
기,특급Ⅱ,耭,밭갈
기,특급Ⅱ,饑,주릴
기,특급,歧,두갈래길
기,특급,棊,바둑
기,특급,曁,미칠
기,특급,暣,볕
기,특급,旂,용대기
기,특급,覊,굴레
기,특급,跂,육발이
기,특급,蘷,조심할
기,특급,墍,흙바를
기,특급,屺,민둥산
기,특급,忮,사나울
기,특급,軝,수레굴통대
기,특급,頎,헌걸찰
기,특급,芑,흰차조
기,특급,掎,당길
기,특급,僛,비틀거려춤출
기,특급,羇,굴레
기,특급,綦,들메끈
긴,3급Ⅱ,緊,긴할
길,5급,吉,길할
길,1급,拮,일할
길,특급Ⅱ,佶,바를
길,특급Ⅱ,桔,도라지
길,특급,姞,삼갈
끽,1급,喫,먹을
나,3급,那,어찌
나,1급,拏,잡을
나,1급,懦,나약할
나,1급,拿,잡을拏同
나,1급,儺,푸닥거리
나,특급Ⅱ,娜,아리따울
낙,3급Ⅱ,諾,허락할
난,4급Ⅱ,暖,따뜻할
난,4급Ⅱ,難,어려울
난,1급,煖,더울
난,특급,戁,두려워할
난,특급,赧,부끄러울
날,1급,捏,꾸밀
날,1급,捺,누를
날,특급,陧,위태할
남,8급,南,남녘
남,7급Ⅱ,男,사내
남,특급Ⅱ,楠,녹나무
남,특급Ⅱ,枏,녹나무
남,특급Ⅱ,湳,물이름
납,4급,納,들일
납,1급,衲,기울縫
납,특급,軜,고삐
낭,3급Ⅱ,娘,계집
낭,1급,囊,주머니
낭,특급,曩,지난번
내,7급Ⅱ,內,안
내,3급Ⅱ,耐,견딜
내,3급,奈,어찌
내,3급,乃,이에
내,특급Ⅱ,柰,사과
내,특급,鼐,큰솥
내,특급,迺,이에
녀,8급,女,계집
년,8급,年,해
년,1급,撚,비빌
년,특급Ⅱ,秊,해年
녈,1급,涅,열반(涅槃)
념,5급Ⅱ,念,생각
념,특급Ⅱ,拈,집을
념,특급Ⅱ,恬,편안할
념,특급Ⅱ,捻,비틀
녕,3급Ⅱ,寧,편안
녕,특급Ⅱ,寗,차라리
녕,특급Ⅱ,獰,사나울
녕,특급,甯,차라리
